;outcome;purpose_;dti;borrower_score;payment_inc_ratio
44665;paid off;credit_card;19.25;0.4;530.776
11045;default;debt_consolidation;18.33;0.5;923.003
15796;default;major_purchase;14.85;0.55;0.984105
17446;default;debt_consolidation;28.37;0.2;17.088
9202;default;debt_consolidation;12.87;0.5;436.496
37990;paid off;other;11.74;0.25;668.854
16970;default;credit_card;6.96;0.55;347.126
30863;paid off;major_purchase;25.96;0.3;483.074
6194;default;debt_consolidation;14.49;0.55;169.698
16707;default;debt_consolidation;29.53;0.5;106.535
5247;default;credit_card;13.12;0.65;592.606
23790;paid off;debt_consolidation;8.76;0.35;651.657
15831;default;credit_card;14.88;0.5;11.606
37779;paid off;debt_consolidation;27.75;0.55;7.788
32664;paid off;debt_consolidation;22.12;0.5;595.553
25305;paid off;credit_card;14.85;0.6;10.281
19640;default;debt_consolidation;20.53;0.4;729.089
14481;default;other;17.52;0.4;126.971
10839;default;debt_consolidation;22.36;0.25;155.245
29389;paid off;debt_consolidation;25.45;0.5;144.074
384;default;other;17.66;0.3;289.872
10437;default;debt_consolidation;10.84;0.35;599.527
18132;default;credit_card;12.14;0.65;108.869
29875;paid off;credit_card;23.9;0.6;184.283
42314;paid off;home_improvement;13.94;0.5;336.694
11220;default;debt_consolidation;17.72;0.45;13.052
26176;paid off;debt_consolidation;17.34;0.6;163.259
31979;paid off;credit_card;7.35;0.65;503.539
15268;default;debt_consolidation;8.88;0.6;101.383
26957;paid off;home_improvement;12.93;0.7;962.411
31862;paid off;major_purchase;1.88;0.9;135.535
14511;default;other;15.6;0.45;78.024
39297;paid off;debt_consolidation;9.3;0.35;559.415
30283;paid off;credit_card;25.54;0.45;184.883
5012;default;credit_card;6.6;0.45;2.13
8611;default;debt_consolidation;13.11;0.4;158.209
14032;default;debt_consolidation;21.94;0.35;115.313
25879;paid off;debt_consolidation;4.12;0.6;28.519
36410;paid off;debt_consolidation;9.05;0.35;13.094
33603;paid off;debt_consolidation;13.24;0.4;25.986
7453;default;other;21.68;0.5;148.076
34338;paid off;debt_consolidation;3.56;0.5;567.915
6314;default;debt_consolidation;23.74;0.5;781.432
11013;default;debt_consolidation;23.48;0.65;131.451
8483;default;debt_consolidation;34.79;0.35;137.132
3276;default;home_improvement;18;0.3;102.881
17394;default;other;28.59;0.55;915.707
11328;default;debt_consolidation;14.11;0.5;935.282
43342;paid off;debt_consolidation;7.24;0.55;251.321
588;default;debt_consolidation;18.99;0.65;110.613
9228;default;credit_card;13.96;0.7;160.234
40601;paid off;home_improvement;11.52;0.45;663.387
21163;default;debt_consolidation;21.59;0.45;966.923
37215;paid off;debt_consolidation;20.83;0.6;11.853
35602;paid off;debt_consolidation;14.08;0.6;131.371
15602;default;credit_card;21.29;0.2;815.894
11236;default;debt_consolidation;24.6;0.35;135.631
2322;default;small_business;15.47;0.4;583.104
21149;default;major_purchase;9.97;0.3;950.633
33082;paid off;debt_consolidation;14.66;0.4;675.859
6578;default;major_purchase;31.4;0.4;906.137
35637;paid off;credit_card;12.93;0.7;96.339
5920;default;debt_consolidation;24.36;0.35;377.486
10472;default;debt_consolidation;18.12;0.5;382.458
35383;paid off;debt_consolidation;14.88;0.55;11.929
31607;paid off;small_business;10.69;0.6;94.492
2900;default;other;14.95;0.4;125.007
29269;paid off;credit_card;10.17;0.4;602.608
36774;paid off;debt_consolidation;13.66;0.25;128.336
1863;default;debt_consolidation;12.31;0.55;82.716
16069;default;debt_consolidation;13.52;0.5;743.117
40931;paid off;debt_consolidation;11.89;0.75;173.612
15627;default;debt_consolidation;22.69;0.4;473.439
2654;default;debt_consolidation;1.24;0.55;39.148
36867;paid off;debt_consolidation;3.35;0.65;391.916
6370;default;credit_card;30.66;0.65;115.865
8537;default;debt_consolidation;30.65;0.5;120.676
2447;default;debt_consolidation;16.94;0.55;593.836
36393;paid off;debt_consolidation;25.5;0.45;93.855
33444;paid off;debt_consolidation;3.3;0.55;501.187
34843;paid off;debt_consolidation;13.76;0.5;586.463
20110;default;debt_consolidation;8.78;0.25;4.82
30844;paid off;major_purchase;11.41;0.4;103.851
3496;default;debt_consolidation;23.96;0.3;41.004
40096;paid off;credit_card;22.41;0.35;759.665
21480;default;debt_consolidation;20.55;0.45;499.528
18651;default;debt_consolidation;30.52;0.5;107.362
30996;paid off;debt_consolidation;21.26;0.5;90.948
15017;default;debt_consolidation;29.4;0.35;122.627
42424;paid off;credit_card;16.68;0.35;4.896
20590;default;other;17.59;0.55;157.045
12844;default;debt_consolidation;28.2;0.55;120.279
38375;paid off;credit_card;16.63;0.35;8.318
591;default;debt_consolidation;16.42;0.3;165.284
36562;paid off;debt_consolidation;11.3;0.6;103.612
26465;paid off;other;2.05;0.7;600.937
15785;default;debt_consolidation;6.43;0.8;402.907
21544;default;credit_card;20.91;0.45;164.306
43380;paid off;other;10.95;0.6;685.224
8503;default;debt_consolidation;9.62;0.5;108.982
26566;paid off;debt_consolidation;9.66;0.5;75.186
41477;paid off;home_improvement;10.95;0.5;449.542
31712;paid off;home_improvement;6.71;0.65;229.556
19136;default;debt_consolidation;16.42;0.4;101.344
32255;paid off;credit_card;8.38;0.5;480.126
44421;paid off;major_purchase;7.08;0.75;243.493
16478;default;debt_consolidation;32.7;0.45;65.364
15125;default;debt_consolidation;13.4;0.4;76.344
3868;default;other;1.87;0.65;411.961
14984;default;debt_consolidation;32.78;0.2;144.515
19782;default;debt_consolidation;17.27;0.6;159.704
17581;default;debt_consolidation;15.8;0.45;11.532
9711;default;debt_consolidation;11.32;0.4;487.017
22858;default;debt_consolidation;26.06;0.35;476.187
28454;paid off;debt_consolidation;23.02;0.55;130.111
4739;default;debt_consolidation;20.04;0.45;523.953
11243;default;debt_consolidation;22.94;0.45;113.066
24981;paid off;debt_consolidation;30.96;0.6;125.148
7730;default;debt_consolidation;16.39;0.6;987.042
18260;default;debt_consolidation;14.28;0.5;54.566
44354;paid off;debt_consolidation;32.62;0.7;134.966
6332;default;debt_consolidation;27.36;0.4;561.429
24748;paid off;debt_consolidation;10.51;0.55;491.676
28072;paid off;debt_consolidation;21.71;0.5;129.136
34516;paid off;medical;11.35;0.7;441.565
9738;default;debt_consolidation;27.18;0.45;740.174
2667;default;home_improvement;2.16;0.45;256.753
35166;paid off;debt_consolidation;26.4;0.3;121.311
6342;default;debt_consolidation;19.15;0.35;6.771
28692;paid off;debt_consolidation;25.94;0.5;412.058
31551;paid off;debt_consolidation;12.66;0.5;153.879
21235;default;debt_consolidation;14.88;0.5;83.664
10615;default;debt_consolidation;16.68;0.55;165.639
35721;paid off;credit_card;9.98;0.5;122.032
3352;default;debt_consolidation;14.54;0.5;66.756
18843;default;other;19.03;0.3;175.966
8309;default;home_improvement;19.26;0.6;133.118
13756;default;debt_consolidation;23.08;0.3;145.124
37114;paid off;debt_consolidation;1.98;0.55;262.062
939;default;other;9.17;0.35;220.848
7925;default;credit_card;7.23;0.55;26.568
20339;default;debt_consolidation;23.4;0.35;50.205
27274;paid off;other;20.96;0.75;86.295
1626;default;other;14.55;0.5;359.887
7795;default;debt_consolidation;24.79;0.3;12.916
31096;paid off;credit_card;6.77;0.45;413.947
41392;paid off;debt_consolidation;12.99;0.4;570.377
6659;default;debt_consolidation;16.14;0.5;347.255
13025;default;credit_card;25.01;0.45;515.187
10591;default;debt_consolidation;17.02;0.55;138.855
40994;paid off;credit_card;4.34;0.7;141.635
19055;default;debt_consolidation;6.67;0.45;117.306
44921;paid off;other;4.08;0.4;340.079
18051;default;home_improvement;21.48;0.25;282.566
31271;paid off;other;16.19;0.5;733.812
37264;paid off;debt_consolidation;27.58;0.5;660.683
13873;default;debt_consolidation;18.19;0.25;148.972
23739;paid off;other;23.28;0.4;315.374
21650;default;debt_consolidation;14;0.35;632.418
25353;paid off;other;9.84;0.4;21.474
31066;paid off;debt_consolidation;26.14;0.75;688.387
13484;default;debt_consolidation;24.38;0.4;631.813
25078;paid off;debt_consolidation;20.99;0.3;80.652
366;default;medical;20.03;0.35;714.863
23174;paid off;debt_consolidation;5.09;0.7;53.047
44181;paid off;debt_consolidation;20.5;0.4;164.859
44140;paid off;debt_consolidation;27.04;0.35;5.853
22302;default;debt_consolidation;16.35;0.3;133.172
2156;default;major_purchase;22.3;0.7;276.312
23950;paid off;debt_consolidation;18.7;0.6;108.438
40639;paid off;other;0.9;0.85;672.519
155;default;credit_card;23.2;0.3;140.576
14740;default;debt_consolidation;25.8;0.4;133.088
7563;default;debt_consolidation;8.94;0.4;134.468
16569;default;home_improvement;10.72;0.5;168.103
23537;paid off;debt_consolidation;16.72;0.45;993.606
749;default;small_business;15.63;0.55;841.309
22261;default;debt_consolidation;24.34;0.5;379.504
26711;paid off;debt_consolidation;23.8;0.55;115.437
14372;default;debt_consolidation;20.05;0.5;187.111
2648;default;credit_card;11.02;0.45;737.784
39859;paid off;debt_consolidation;21.3;0.65;471.575
31905;paid off;credit_card;8.52;0.7;134.437
12779;default;debt_consolidation;10.45;0.6;13.892
30913;paid off;debt_consolidation;13.43;0.5;87.608
25195;paid off;debt_consolidation;22.9;0.35;925.646
22421;default;other;25.38;0.3;823.371
12626;default;debt_consolidation;24.33;0.5;146.856
37054;paid off;debt_consolidation;26.53;0.45;149.401
13915;default;debt_consolidation;6.67;0.55;134.778
16305;default;debt_consolidation;33.04;0.35;667.547
41212;paid off;debt_consolidation;15.89;0.4;877.962
18629;default;debt_consolidation;24.9;0.25;855.369
3131;default;small_business;17.21;0.6;497.143
39363;paid off;debt_consolidation;5.3;0.6;447.336
44592;paid off;debt_consolidation;13.09;0.65;955.782
22707;default;major_purchase;26.33;0.45;4.456
20586;default;debt_consolidation;18.89;0.45;100.596
45511;paid off;debt_consolidation;23.19;0.55;246.471
43899;paid off;debt_consolidation;10.5;0.3;8.106
45175;paid off;other;13.31;0.65;275.727
45534;paid off;debt_consolidation;12.98;0.55;772.848
34291;paid off;debt_consolidation;17.29;0.55;162.875
31991;paid off;credit_card;18.02;0.55;150.924
13680;default;debt_consolidation;33.17;0.3;121.161
14002;default;debt_consolidation;26.77;0.45;112.306
17812;default;other;8.66;0.55;798.044
29759;paid off;debt_consolidation;24.65;0.45;653.548
23844;paid off;debt_consolidation;20.58;0.65;117.829
9701;default;debt_consolidation;23.43;0.45;13.737
10806;default;debt_consolidation;31.44;0.5;88.452
9290;default;debt_consolidation;29.06;0.5;9.288
41136;paid off;small_business;8.9;0.6;758.621
26787;paid off;debt_consolidation;12.14;0.45;329.741
38778;paid off;other;2.8;0.65;16.738
965;default;debt_consolidation;13.81;0.4;322.006
42941;paid off;credit_card;17.38;0.4;122.622
28363;paid off;debt_consolidation;27.18;0.5;139.594
11022;default;other;4.2;0.4;136.548
24454;paid off;other;7.99;0.55;769.611
34173;paid off;credit_card;17.93;0.45;258.712
5191;default;debt_consolidation;18.78;0.5;9.42
7510;default;debt_consolidation;7.87;0.5;125.702
40783;paid off;debt_consolidation;15.1;0.45;694.193
29294;paid off;debt_consolidation;14.24;0.7;331.516
6128;default;credit_card;18.28;0.45;71.875
25518;paid off;debt_consolidation;2.81;0.55;776.695
26272;paid off;debt_consolidation;18.22;0.55;830.337
15128;default;credit_card;30.75;0.35;108.374
26553;paid off;home_improvement;16.03;0.6;11.637
33080;paid off;credit_card;19.01;0.55;126.914
40696;paid off;debt_consolidation;6.81;0.6;319.102
46047;paid off;major_purchase;0.33;0.55;952.774
23077;default;debt_consolidation;22.58;0.35;149.452
6865;default;major_purchase;26.99;0.6;3.292
45846;paid off;debt_consolidation;6.16;0.75;78.733
31883;paid off;other;0.4;0.65;270.176
45247;paid off;debt_consolidation;6.76;0.55;39.132
39525;paid off;home_improvement;7.12;0.5;16.781
37748;paid off;other;10.28;0.4;703.458
25870;paid off;debt_consolidation;31.85;0.5;766.584
26791;paid off;credit_card;13.42;0.35;624.497
27350;paid off;debt_consolidation;21.39;0.4;112.648
21651;default;debt_consolidation;15.57;0.4;612.814
38340;paid off;major_purchase;26.36;0.6;754.903
32770;paid off;small_business;9.15;0.65;642.415
44087;paid off;debt_consolidation;9.01;0.5;314.684
46164;paid off;debt_consolidation;20.06;0.7;763.151
1100;default;debt_consolidation;9.34;0.45;167.586
21266;default;debt_consolidation;22.46;0.3;148.503
30264;paid off;credit_card;9.77;0.7;473.712
32535;paid off;debt_consolidation;10.04;0.55;396.269
22073;default;debt_consolidation;26.27;0.25;132.382
27810;paid off;credit_card;7.28;0.5;8.589
38293;paid off;debt_consolidation;10.12;0.55;126.448
11037;default;debt_consolidation;17.12;0.5;365.353
31478;paid off;major_purchase;13.7;0.55;120.684
39343;paid off;other;16.97;0.75;814.516
32440;paid off;major_purchase;15.52;0.75;317.593
30048;paid off;debt_consolidation;17.18;0.55;10.974
14514;default;other;26.91;0.6;0.644495
4400;default;debt_consolidation;10.04;0.65;202.056
36386;paid off;debt_consolidation;23.07;0.45;100.248
41487;paid off;debt_consolidation;18.71;0.55;143.944
25196;paid off;debt_consolidation;19.3;0.35;127.082
44789;paid off;debt_consolidation;26.3;0.5;95.655
4192;default;debt_consolidation;19.96;0.5;115.039
33650;paid off;debt_consolidation;30.8;0.65;145.335
30282;paid off;debt_consolidation;21.15;0.45;318.813
21984;default;other;15.54;0.5;233.032
11151;default;debt_consolidation;22.67;0.5;756.402
41376;paid off;debt_consolidation;13.23;0.5;630.411
27768;paid off;major_purchase;2.3;0.45;385.104
42744;paid off;debt_consolidation;14.44;0.55;119.382
37027;paid off;debt_consolidation;12.45;0.45;395.449
37592;paid off;home_improvement;11.74;0.6;155.224
18654;default;debt_consolidation;28.47;0.4;201.555
37241;paid off;home_improvement;10.76;0.55;368.247
37522;paid off;debt_consolidation;5.67;0.35;268.594
14358;default;debt_consolidation;13.58;0.55;84.141
23738;paid off;other;16.59;0.5;231.504
2583;default;debt_consolidation;19.84;0.3;414.273
38600;paid off;debt_consolidation;9.32;0.6;719.482
16755;default;debt_consolidation;5.87;0.6;57.163
9509;default;credit_card;11.88;0.55;963.899
28796;paid off;debt_consolidation;9.16;0.7;691.405
14622;default;home_improvement;24.58;0.35;12.537
13788;default;credit_card;21.18;0.4;909.638
4002;default;medical;11.55;0.35;340.179
30903;paid off;home_improvement;3.89;0.55;321.336
38159;paid off;debt_consolidation;24.63;0.4;283.862
12871;default;debt_consolidation;8.77;0.35;147.614
19599;default;debt_consolidation;12.72;0.5;841.876
31256;paid off;credit_card;17.63;0.55;594.432
4648;default;home_improvement;4.24;0.55;837.069
7521;default;credit_card;33.18;0.5;145.082
27532;paid off;debt_consolidation;19.73;0.6;120.927
5838;default;debt_consolidation;29.2;0.2;342.765
40817;paid off;debt_consolidation;4.47;0.55;132.393
3668;default;debt_consolidation;6.49;0.4;562.005
36072;paid off;debt_consolidation;28.46;0.65;142.474
21941;default;other;17.9;0.6;694.766
946;default;major_purchase;19.26;0.45;571.386
5315;default;credit_card;10.15;0.45;56.117
41140;paid off;debt_consolidation;9.24;0.65;552.675
2341;default;debt_consolidation;19.62;0.3;915.713
27412;paid off;debt_consolidation;19.48;0.45;815.809
44192;paid off;debt_consolidation;19.01;0.6;601.305
25161;paid off;debt_consolidation;7.93;0.6;819.667
615;default;debt_consolidation;20.31;0.5;979.547
39845;paid off;debt_consolidation;25.89;0.55;120.418
39070;paid off;credit_card;19.05;0.5;83.457
32283;paid off;other;21.74;0.75;139.771
43867;paid off;debt_consolidation;3.23;0.45;580.267
37469;paid off;debt_consolidation;11.23;0.5;908.634
24531;paid off;small_business;4.05;0.65;203.412
41648;paid off;debt_consolidation;15.57;0.65;7.374
9915;default;debt_consolidation;20.58;0.25;117.444
26701;paid off;home_improvement;14.99;0.3;180.388
43517;paid off;debt_consolidation;18.79;0.45;788.635
35889;paid off;debt_consolidation;9.72;0.6;135.472
8951;default;home_improvement;9.26;0.3;704.148
10118;default;credit_card;18.28;0.5;134.036
18597;default;debt_consolidation;17.04;0.45;883.571
9330;default;home_improvement;14.43;0.35;808.483
37463;paid off;credit_card;8.77;0.55;456.029
556;default;debt_consolidation;22.03;0.6;422.174
36009;paid off;home_improvement;6.42;0.5;133.548
43146;paid off;debt_consolidation;18.17;0.35;527.084
16154;default;debt_consolidation;5.64;0.45;79.848
22230;default;debt_consolidation;33.96;0.55;885.522
42962;paid off;credit_card;18.93;0.55;791.253
36492;paid off;debt_consolidation;15.41;0.4;348.705
10803;default;debt_consolidation;21.07;0.45;140.858
10389;default;debt_consolidation;29.42;0.65;8.034
40174;paid off;debt_consolidation;26.47;0.45;123.234
9205;default;debt_consolidation;10.11;0.4;576.252
45189;paid off;major_purchase;11.3;0.4;411.072
28581;paid off;debt_consolidation;22.14;0.45;140.889
42410;paid off;home_improvement;14.93;0.5;140.362
25649;paid off;debt_consolidation;18.63;0.5;119.749
16358;default;debt_consolidation;11.61;0.5;161.901
3490;default;debt_consolidation;15.47;0.5;123.112
43868;paid off;home_improvement;8.12;0.6;789.876
42871;paid off;home_improvement;19.95;0.8;284.386
12737;default;debt_consolidation;4.83;0.55;812.471
36439;paid off;credit_card;20.4;0.45;871.635
13211;default;debt_consolidation;23.06;0.35;153.375
45384;paid off;other;28.77;0.45;87.795
41127;paid off;debt_consolidation;20.67;0.45;163.683
877;default;debt_consolidation;18.36;0.65;133.847
11009;default;debt_consolidation;27.22;0.25;134.989
5369;default;home_improvement;9.1;0.45;7.406
10279;default;debt_consolidation;32.63;0.25;649.175
35433;paid off;other;11.06;0.6;615.889
36251;paid off;credit_card;16.58;0.55;93.432
2314;default;major_purchase;7.82;0.5;274.288
24800;paid off;debt_consolidation;3.51;0.65;6.474
41098;paid off;debt_consolidation;18.71;0.7;11.532
32259;paid off;credit_card;4.94;0.45;639.709
2098;default;debt_consolidation;21.56;0.5;608.743
15744;default;credit_card;22.52;0.55;69.945
26501;paid off;debt_consolidation;13.08;0.45;402.816
44978;paid off;debt_consolidation;21.04;0.45;101.937
2921;default;debt_consolidation;21.88;0.35;126.677
10810;default;credit_card;24;0.55;883.709
27222;paid off;debt_consolidation;16.61;0.5;394.682
27253;paid off;credit_card;16.34;0.55;912.044
12331;default;debt_consolidation;22.03;0.35;181.546
22346;default;other;8.91;0.65;42.273
41693;paid off;debt_consolidation;18.11;0.75;592.267
11512;default;debt_consolidation;14.19;0.55;113.549
37976;paid off;debt_consolidation;4.18;0.5;746.194
35497;paid off;debt_consolidation;8.66;0.55;281.751
1220;default;debt_consolidation;9.15;0.6;391.987
32310;paid off;debt_consolidation;18.66;0.7;855.465
38769;paid off;debt_consolidation;21.65;0.55;961.968
7616;default;debt_consolidation;18.33;0.45;126.175
6955;default;credit_card;19.46;0.6;965.921
8063;default;debt_consolidation;12.11;0.45;54.436
3927;default;major_purchase;16.84;0.55;92.268
9521;default;debt_consolidation;20.59;0.45;337.536
24778;paid off;other;9.67;0.7;28.816
35839;paid off;debt_consolidation;14.14;0.8;700.187
23328;paid off;home_improvement;15.04;0.8;157.932
1552;default;debt_consolidation;16.78;0.55;242.591
39390;paid off;credit_card;23.99;0.45;105.132
44361;paid off;credit_card;28.06;0.45;815.515
6175;default;debt_consolidation;19.45;0.6;138.623
29239;paid off;credit_card;23.57;0.45;100.703
11975;default;credit_card;23.85;0.55;152.084
23360;paid off;debt_consolidation;4.2;0.45;477.422
9451;default;debt_consolidation;15.33;0.55;144.763
12448;default;debt_consolidation;15.96;0.45;959.928
44584;paid off;debt_consolidation;19.43;0.4;77.774
16488;default;debt_consolidation;20.1;0.3;3.36
30312;paid off;credit_card;8.13;0.6;33.053
18818;default;debt_consolidation;12.21;0.5;189.654
37423;paid off;debt_consolidation;26.29;0.7;146.106
9947;default;debt_consolidation;19.56;0.25;214.677
24923;paid off;home_improvement;7.18;0.8;677.921
17474;default;debt_consolidation;4.18;0.5;709.961
7594;default;debt_consolidation;16.73;0.55;878.008
31091;paid off;home_improvement;4.13;0.55;30.828
29337;paid off;credit_card;14.1;0.65;90.981
42862;paid off;other;8.49;0.4;481.817
12101;default;debt_consolidation;31.09;0.55;110.389
36847;paid off;debt_consolidation;19.77;0.75;16.332
27173;paid off;debt_consolidation;17.5;0.5;221.247
6347;default;other;18.32;0.45;571.205
26708;paid off;debt_consolidation;12;0.25;161.749
19862;default;debt_consolidation;22.18;0.35;129.092
14628;default;credit_card;16.42;0.55;126.352
41734;paid off;debt_consolidation;18.69;0.55;141.346
40977;paid off;home_improvement;29.5;0.45;65.268
43792;paid off;other;1.23;0.6;281.581
9972;default;credit_card;13.8;0.45;126.518
13254;default;debt_consolidation;16.49;0.4;867.154
9802;default;medical;24.33;0.7;3.359
44928;paid off;debt_consolidation;13.42;0.55;117.038
22395;default;credit_card;3.09;0.7;801.336
34595;paid off;other;13.55;0.45;475.707
34821;paid off;other;5.49;0.7;431.409
20545;default;debt_consolidation;16.1;0.2;579.972
2203;default;debt_consolidation;22.49;0.4;372.212
26984;paid off;other;10.73;0.45;805.275
12994;default;debt_consolidation;18.83;0.35;648.395
4621;default;debt_consolidation;16.55;0.45;679.318
28821;paid off;other;14.46;0.65;678.692
31207;paid off;credit_card;9.59;0.5;229.968
34993;paid off;credit_card;2.31;0.65;20.769
32738;paid off;credit_card;26.25;0.65;428.515
38927;paid off;debt_consolidation;16.12;0.35;669.905
22908;default;debt_consolidation;31.15;0.5;154.532
26438;paid off;credit_card;5.48;0.65;7.688
1783;default;other;21.17;0.3;1.894
45445;paid off;debt_consolidation;22.59;0.6;622.827
10866;default;debt_consolidation;13.49;0.7;100.565
24652;paid off;home_improvement;18.72;0.4;42.319
34216;paid off;debt_consolidation;15.38;0.6;85.488
25873;paid off;credit_card;11.85;0.6;111.965
10691;default;credit_card;18.58;0.6;619.065
22806;default;debt_consolidation;29.5;0.55;158.841
43677;paid off;major_purchase;14.06;0.6;734.553
28736;paid off;debt_consolidation;16.54;0.45;588.535
42597;paid off;debt_consolidation;29.55;0.5;51.441
3438;default;medical;11.26;0.4;16.746
35161;paid off;debt_consolidation;15.6;0.6;440.753
24649;paid off;home_improvement;5.64;0.5;163.894
24050;paid off;debt_consolidation;17.54;0.4;9.246
35629;paid off;credit_card;7.12;0.4;922.537
42396;paid off;debt_consolidation;6.98;0.65;429.458
33687;paid off;credit_card;10.52;0.6;113.073
31017;paid off;debt_consolidation;25.9;0.55;517.917
3180;default;other;11.95;0.35;334.467
32282;paid off;other;18.62;0.45;335.607
12704;default;debt_consolidation;21.46;0.45;79.015
30564;paid off;home_improvement;12.75;0.45;875.682
9110;default;debt_consolidation;29.75;0.45;651.706
4297;default;debt_consolidation;20.1;0.6;820.603
32110;paid off;major_purchase;19.14;0.45;39.697
37932;paid off;credit_card;18.44;0.6;523.275
39874;paid off;credit_card;17.37;0.45;653.581
673;default;other;26.82;0.4;115.214
44496;paid off;medical;23.58;0.65;11.139
26732;paid off;debt_consolidation;28.43;0.5;639.595
21843;default;debt_consolidation;19.05;0.5;962.549
37451;paid off;debt_consolidation;18.64;0.45;721.929
16325;default;debt_consolidation;10.55;0.6;102.656
31550;paid off;debt_consolidation;27.29;0.5;110.652
45677;paid off;credit_card;22.82;0.65;410.076
24409;paid off;other;7.47;0.25;7.752
8552;default;debt_consolidation;15.39;0.25;233.964
37963;paid off;debt_consolidation;25.72;0.45;111.715
7898;default;medical;15.59;0.45;210.046
19864;default;debt_consolidation;18.54;0.6;937.423
42421;paid off;debt_consolidation;4.92;0.5;374.729
7770;default;credit_card;21.96;0.5;797.036
11909;default;debt_consolidation;26.64;0.45;107.909
32751;paid off;credit_card;12.18;0.7;107.687
14430;default;debt_consolidation;20.99;0.4;101.937
18890;default;medical;14.29;0.4;47.193
22467;default;debt_consolidation;7.25;0.5;727.632
25289;paid off;debt_consolidation;12.75;0.65;550.218
5201;default;debt_consolidation;9.52;0.6;394.049
40688;paid off;home_improvement;1.59;0.7;703.227
38444;paid off;debt_consolidation;9.43;0.45;616.635
232;default;debt_consolidation;22.06;0.25;57.156
43714;paid off;debt_consolidation;7.56;0.45;91.208
15147;default;credit_card;0.3;0.55;155.489
18368;default;debt_consolidation;11.39;0.5;648.229
39200;paid off;debt_consolidation;17.45;0.6;596.479
3101;default;credit_card;14.13;0.6;124.087
30728;paid off;credit_card;7.12;0.75;160.446
33758;paid off;debt_consolidation;15.76;0.65;104.998
3976;default;debt_consolidation;21.47;0.45;942.887
26493;paid off;debt_consolidation;15.14;0.4;552.168
16987;default;debt_consolidation;11.71;0.45;449.973
29988;paid off;debt_consolidation;20.16;0.6;733.222
40259;paid off;debt_consolidation;17.38;0.6;13.8
11748;default;debt_consolidation;16.94;0.65;110.955
26682;paid off;debt_consolidation;19.79;0.65;108.112
17436;default;debt_consolidation;33.64;0.55;109.197
33477;paid off;debt_consolidation;13.93;0.45;100.466
40575;paid off;home_improvement;13.77;0.6;89.548
76;default;small_business;21.99;0.45;577.647
15010;default;credit_card;30.12;0.4;106.308
28166;paid off;debt_consolidation;19.66;0.4;877.257
7653;default;debt_consolidation;24.26;0.3;823.328
2064;default;small_business;17.91;0.3;887.668
36250;paid off;debt_consolidation;8.24;0.25;970.862
22628;default;debt_consolidation;22.73;0.55;13.081
3295;default;debt_consolidation;14.34;0.45;696.979
42328;paid off;credit_card;13.29;0.5;926.699
27202;paid off;medical;5.7;0.65;46.365
923;default;debt_consolidation;8;0.5;249.527
38637;paid off;debt_consolidation;11.91;0.5;725.104
23659;paid off;debt_consolidation;13.22;0.5;468.808
26390;paid off;debt_consolidation;4.02;0.6;92.925
36753;paid off;credit_card;11.25;0.45;609.218
25306;paid off;debt_consolidation;21.22;0.65;7.107
40624;paid off;other;5.71;0.5;242.176
29674;paid off;debt_consolidation;18.62;0.5;198.864
44000;paid off;debt_consolidation;14.7;0.6;76.185
31730;paid off;debt_consolidation;21.36;0.45;50.904
20396;default;debt_consolidation;15.21;0.55;44.456
45139;paid off;debt_consolidation;23.42;0.5;103.467
38960;paid off;debt_consolidation;11.27;0.65;64.573
17164;default;credit_card;15.36;0.3;273.776
33229;paid off;other;11.02;0.5;25.296
720;default;debt_consolidation;18.87;0.45;9.978
40974;paid off;debt_consolidation;15.45;0.3;222.068
35387;paid off;debt_consolidation;12.56;0.55;119.075
35467;paid off;other;21.45;0.55;200.958
23232;paid off;debt_consolidation;18.17;0.55;767.771
36055;paid off;debt_consolidation;19.07;0.65;357.124
39651;paid off;debt_consolidation;13.63;0.5;914.667
11942;default;debt_consolidation;10.86;0.4;287.052
25471;paid off;debt_consolidation;5.25;0.5;119.741
26675;paid off;debt_consolidation;9.47;0.65;137.862
6873;default;debt_consolidation;16.43;0.45;48.645
23016;default;home_improvement;4.77;0.7;923.643
933;default;major_purchase;20.59;0.15;302.632
29876;paid off;debt_consolidation;11.72;0.65;331.556
46018;paid off;credit_card;21.68;0.45;995.413
25532;paid off;debt_consolidation;17.33;0.6;151.662
37337;paid off;other;2.19;0.55;73.536
16988;default;other;34.92;0.45;55.708
43635;paid off;debt_consolidation;19.5;0.35;4.821
44992;paid off;credit_card;16.78;0.3;356.562
33877;paid off;credit_card;10.37;0.5;427.182
32070;paid off;credit_card;18.39;0.75;171.468
4790;default;home_improvement;11.35;0.5;699.118
29503;paid off;debt_consolidation;9.76;0.55;347.208
33196;paid off;debt_consolidation;10.91;0.55;224.323
12346;default;debt_consolidation;15.98;0.4;405.889
41688;paid off;debt_consolidation;22.47;0.4;166.965
40876;paid off;debt_consolidation;21.03;0.55;988.141
4175;default;credit_card;19.23;0.4;979.512
38423;paid off;debt_consolidation;9.67;0.6;769.995
1197;default;debt_consolidation;18.89;0.2;628.527
16011;default;other;26.44;0.3;631.791
13233;default;credit_card;20.59;0.75;8.4
5142;default;other;5.91;0.45;209.875
19271;default;home_improvement;5.93;0.75;112.803
9586;default;debt_consolidation;11.27;0.4;719.626
29827;paid off;debt_consolidation;10.75;0.5;860.911
